2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
tantsupeo laulu traditsiooni 0.29% -> 0.016% (-94.403%),hambaravi hammaste hambad 0.422% -> 0.132% (-68.632%),leping ratifitseerida lepinguga 1.032% -> 0.506% (-50.96%),kutsehariduse kutseharidus kutsehariduses 1.012% -> 0.43% (-57.476%),kohtla jarve johvi 0.557% -> 0.154% (-72.389%),katteallikas katteallikaid katteallikat 0.685% -> 0.347% (-49.41%),piirilepingu piirileping piirilepingut 0.662% -> 0.294% (-55.598%),jaatmeid liigiti prugi 0.336% -> 0.115% (-65.799%),elektri elektrit taastuvenergia 0.944% -> 0.484% (-48.71%),piirilepingu piirileping piirilepingut 0.413% -> 0.135% (-67.358%),abipolitseinik abipolitseiniku abipolitseinike 0.224% -> 0.023% (-89.547%),kodakondsust kodakondsuse kodanikuks 0.751% -> 0.332% (-55.772%)
kolledz kolledzi turi 0.302% -> 0.016% (-94.636%),riigipuha puhade tahtpaevade 0.357% -> 0.013% (-96.293%),tooandja tervisesse maksuvabalt 0.423% -> 0.084% (-80.077%),matusetoetust matusetoetus matusetoetuse 0.696% -> 0.215% (-69.073%),uliopilased uliopilastele uliopilaste 0.899% -> 0.378% (-58.0%),omandireformi tagastatud omandireform 0.378% -> 0.126% (-66.614%),pagulasi pagulased pagulaste 0.672% -> 0.294% (-56.291%),muraste kase kompleksi 0.22% -> 0.038% (-82.628%),hooldekodus hoolduse hooldekodu 1.046% -> 0.556% (-46.857%),valimisliitude volikogusse volikokku 0.7% -> 0.325% (-53.478%),kohtutaiturite kohtutaitur kohtutaituri 0.359% -> 0.117% (-67.335%),salastatud valisteabe riigisaladuse 0.692% -> 0.277% (-60.02%)
virumaale virumaa toostusalade 0.92% -> 0.47% (-48.86%),kasvavad tuleval kasv 0.308% -> 0.053% (-82.83%),palgatousu opetajate palgatous 1.707% -> 0.991% (-41.931%),muuseum muuseumi muuseumide 0.485% -> 0.038% (-92.169%),soita jalakaija konniteel 0.81% -> 0.308% (-62.035%),treenerite spordi sport 0.755% -> 0.389% (-48.53%),kandidaadi kandidaati kandidaat 0.441% -> 0.136% (-69.077%),vagivallale vihakone ohutamine 1.06% -> 0.638% (-39.801%),riigipuha puhade tahtpaevade 0.357% -> 0.018% (-94.98%),samba sammas sambasse 3.713% -> 2.817% (-24.137%),eriarstide eriarstiabi eriarsti 0.887% -> 0.469% (-47.075%),hadaolukorda eriolukord eriolukorra 1.877% -> 1.144% (-39.063%)
tervist tervis tervisega 0.315% -> 0.049% (-84.552%),domeenide domeeni interneti 0.519% -> 0.185% (-64.319%),kaitseliit kaitseliidule kaitseliidu 0.9% -> 0.38% (-57.811%),estonian air airi 0.717% -> 0.215% (-69.983%),jaatmeid liigiti prugi 0.861% -> 0.336% (-61.02%),pensioni pension sammas 0.531% -> 0.2% (-62.441%),tootuid tootute tootu 0.368% -> 0.073% (-80.019%),piirivalve valvamise valvamine 0.367% -> 0.128% (-65.256%),pagulasi pagulased pagulaste 0.472% -> 0.126% (-73.405%),kantsler kantsleri riigisekretar 0.341% -> 0.079% (-76.95%),riigipuha puhade tahtpaevade 0.314% -> 0.035% (-88.801%),aasia aasias saatkonna 0.528% -> 0.129% (-75.538%)
lapsetoetust lapsetoetus lapsetoetuse 1.588% -> 0.973% (-38.7%),elektri elektrit taastuvenergia 3.602% -> 2.673% (-25.791%),aardla pria pealtnagija 0.437% -> 0.063% (-85.511%),direktiivi direktiiv ulevotmise 0.738% -> 0.228% (-69.125%),toonadalal istungid taiendaval 1.051% -> 0.461% (-56.088%),pollumeestele pollumehi pollumehed 2.027% -> 1.344% (-33.688%),riigipalgaliste riigisektoris koondada 0.767% -> 0.336% (-56.206%),valispoliitika valispoliitikas diplomaatia 0.839% -> 0.434% (-48.319%),korterid kortereid korterit 0.421% -> 0.09% (-78.701%),riigiloivude riigiloivud riigiloivu 0.502% -> 0.18% (-64.249%),hooldekodus hoolduse hooldekodu 0.853% -> 0.399% (-53.238%),efsf esm kreekale 0.504% -> 0.037% (-92.686%)
toonadalal istungid taiendaval 1.222% -> 0.681% (-44.261%),pensioni pension sammas 0.503% -> 0.159% (-68.43%),loomi loomade loomad 0.609% -> 0.169% (-72.282%),laari laar kandidatuuri 0.506% -> 0.063% (-87.493%),lasteaia lasteaias lasteaiakoha 1.051% -> 0.447% (-57.419%),toovoimereformi toovoimega toovoimereform 0.741% -> 0.336% (-54.645%),elatisraha elatisabi elatise 0.588% -> 0.01% (-98.216%),piima toorpiima toodangut 0.661% -> 0.293% (-55.605%),relva relvade relvaluba 0.689% -> 0.251% (-63.556%),vagivalla naistevastase perevagivalla 0.323% -> 0.056% (-82.621%),abielu kooselu samasooliste 0.685% -> 0.27% (-60.588%),arengukavad arengukavade pohialuste 1.877% -> 1.033% (-44.96%)
omandireformi tagastatud omandireform 0.63% -> 0.243% (-61.381%),maksuamet tolliamet tolliameti 1.363% -> 0.767% (-43.687%),memorandumi moistmise memorandum 0.582% -> 0.148% (-74.644%),taanis saksamaal hollandis 1.054% -> 0.418% (-60.377%),apteeke apteegid apteekide 1.013% -> 0.405% (-59.964%),teede teehoiuks teedele 0.447% -> 0.137% (-69.483%),korteriuhistu korteriomanike korteriuhistute 0.378% -> 0.042% (-88.899%),alkoholi kange lahja 3.316% -> 2.45% (-26.115%),haale valimispaeval valimiste 0.664% -> 0.233% (-64.857%),prokuratuur prokuratuuri prokuror 1.345% -> 0.763% (-43.275%),koosoleku elektrooniline koosolekut 0.415% -> 0.082% (-80.225%),loomi loomade loomad 0.798% -> 0.221% (-72.249%)
ooteala piiriuletuse piiripunkti 0.365% -> 0.065% (-82.244%),lasteaia lasteaias lasteaiakoha 0.908% -> 0.423% (-53.396%),ametiuhingute tooandjate keskliit 0.847% -> 0.295% (-65.135%),kaibemaksu kaibemaks kaibemaksumaara 0.886% -> 0.304% (-65.695%),valimisea valimisiga valimisoiguse 1.418% -> 0.685% (-51.681%),apteeke apteegid apteekide 0.405% -> 0.105% (-74.097%),rahvahaaletuse rahvahaaletus rahvahaaletusel 0.473% -> 0.115% (-75.579%),huvihariduse huvitegevuse huviharidus 0.399% -> 0.089% (-77.6%),hanke hankija riigihangete 0.447% -> 0.09% (-79.918%),kandidaadi kandidaati kandidaat 0.466% -> 0.123% (-73.531%),keskkonnaameti uhendamine uhendamise 0.494% -> 0.106% (-78.619%),oiglase virumaale ulemineku 0.633% -> 0.111% (-82.527%)
valimisliitude volikogusse volikokku 1.021% -> 0.503% (-50.733%),utah jordaania energia 0.503% -> 0.146% (-71.061%),alkoholi kange lahja 1.31% -> 0.612% (-53.313%),tulubaasi tasandusfondi tulumaksuosa 0.928% -> 0.329% (-64.525%),lipu laevu kaubalaeva 0.557% -> 0.042% (-92.47%),teenuseid teenused teenust 0.615% -> 0.242% (-60.733%),palgatousu opetajate palgatous 1.061% -> 0.514% (-51.531%),tulumaksuvaba maksususteemi tulumaksu 1.616% -> 0.957% (-40.778%),koolituse koolitus koolitusele 0.434% -> 0.036% (-91.731%),uliopilased uliopilastele uliopilaste 1.238% -> 0.617% (-50.13%),fie fuusilisest isikust 0.483% -> 0.082% (-82.984%),kohtunike kohtususteem kohtuniku 0.716% -> 0.166% (-76.798%)
treenerite spordi sport 0.403% -> 0.032% (-91.954%),tulubaasi omavalitsustele omavalitsuste 1.428% -> 0.754% (-47.174%),tootuid tootute tootu 1.125% -> 0.464% (-58.749%),palgalohe soolist meeste 0.844% -> 0.241% (-71.484%),rail trassi balticu 0.658% -> 0.154% (-76.637%),reklaami reklaam alkoholireklaam 0.378% -> 0.074% (-80.525%),tulubaasi tasandusfondi tulumaksuosa 0.693% -> 0.252% (-63.671%),loomi loomade loomad 0.808% -> 0.345% (-57.36%),konkurss konkursi konkurssi 0.459% -> 0.072% (-84.381%),opositsiooni koalitsioonil opositsioonil 0.861% -> 0.281% (-67.414%),poolte kokkuleppel huvitise 0.505% -> 0.094% (-81.417%),korruptsiooni korruptsioon korruptsiooniga 0.739% -> 0.092% (-87.519%)
soita jalakaija konniteel 0.731% -> 0.276% (-62.269%),post posti omniva 0.454% -> 0.04% (-91.262%),prokuratuur prokuratuuri prokuror 1.257% -> 0.548% (-56.38%),liiklussurmade liikluses hukkunute 0.907% -> 0.279% (-69.285%),uhistranspordi uhistransport uhistransporti 0.582% -> 0.084% (-85.594%),alkoholi kange lahja 2.587% -> 1.733% (-33.002%),volakirjade keskpank volakirju 0.651% -> 0.22% (-66.161%),kohanimenoukogu vonnu mulgi 0.525% -> 0.026% (-95.136%),karistuse karistus tingimisi 1.404% -> 0.664% (-52.717%),treenerite spordi sport 0.717% -> 0.18% (-74.974%),ajakirjandus ajakirjanduse ajakirjandust 0.786% -> 0.27% (-65.655%),otsevalimise presidenti presidendi 1.079% -> 0.277% (-74.36%)
matusetoetust matusetoetus matusetoetuse 0.567% -> 0.016% (-97.139%),teadus teaduse arendustegevuse 0.519% -> 0.093% (-82.16%),poolte kokkuleppel huvitise 0.767% -> 0.19% (-75.269%),elektri elektrit taastuvenergia 1.961% -> 1.0% (-49.003%),ts parvlaeva parvlaevad 0.772% -> 0.042% (-94.568%),kaitseliit kaitseliidule kaitseliidu 1.105% -> 0.515% (-53.407%),korterid kortereid korterit 0.714% -> 0.252% (-64.739%),abielu kooselu samasooliste 0.63% -> 0.166% (-73.653%),omandireformi tagastatud omandireform 0.957% -> 0.018% (-98.126%),volitust kaasuses jarvik 0.7% -> 0.157% (-77.541%),louis freeh kremli 0.729% -> 0.199% (-72.662%),objekti anu raua 1.032% -> 0.055% (-94.639%)
etv saateid pbk 0.756% -> 0.243% (-67.817%),tulubaasi tasandusfondi tulumaksuosa 1.785% -> 0.979% (-45.135%),riigimetsa majandamise noukokku 0.648% -> 0.084% (-86.989%),kinnisasja maad maa 1.307% -> 0.519% (-60.3%),missiooni missioonile missioon 2.266% -> 1.188% (-47.554%),erimargistatud kutust kutuse 0.713% -> 0.242% (-66.123%),liitlaste ohutorje keskmaa 0.767% -> 0.273% (-64.417%),ulejaagis struktuurses struktuurse 2.655% -> 1.633% (-38.478%),humni humn laulda 0.957% -> 0.018% (-98.126%),lipud lippude lipp 0.735% -> 0.067% (-90.844%),korterelamute kortermajade kredexi 0.752% -> 0.211% (-71.918%),rahvahaaletuse rahvahaaletus rahvahaaletusel 0.974% -> 0.148% (-84.843%)
apteeke apteegid apteekide 0.542% -> 0.097% (-82.038%),energiaagentuur agentuuri agentuur 0.519% -> 0.053% (-89.805%),teenistuse teenistuses avalikus 0.953% -> 0.253% (-73.437%),ooteala piiriuletuse piiripunkti 0.717% -> 0.063% (-91.171%),kandidaadi kandidaati kandidaat 0.772% -> 0.14% (-81.894%),koolilouna koolitoidu koolitoit 0.909% -> 0.368% (-59.551%),vabatahtlike komandode paasteameti 0.851% -> 0.294% (-65.465%),maksuamet tolliamet tolliameti 1.186% -> 0.51% (-56.955%),idapiiri piiririba valjaehitamine 0.817% -> 0.197% (-75.839%),skais arendused infosusteemide 0.789% -> 0.079% (-90.047%),pensionifondide pensionifondid fondid 0.673% -> 0.129% (-80.837%),psuhhiaatri alaealine psuhhiaatrilist 1.302% -> 0.35% (-73.082%)
voidusamba vabadussoja uurimiskomisjon 0.529% -> 0.081% (-84.675%),erimargistatud kutust kutuse 0.779% -> 0.238% (-69.416%),lng terminali gaasi 0.767% -> 0.063% (-91.756%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.738% -> 0.089% (-87.993%),krimmi agressiooni ukraina 2.127% -> 1.063% (-50.037%),riigiloivude riigiloivud riigiloivu 0.629% -> 0.179% (-71.622%),abielu kooselu samasooliste 1.397% -> 0.63% (-54.93%),vaikesaarte saarte pusiasustusega 0.577% -> 0.102% (-82.312%),veb fondi uurimiskomisjon 0.715% -> 0.054% (-92.469%),kohtunike kohtususteem kohtuniku 1.022% -> 0.269% (-73.657%),annetus erjk annetuse 1.223% -> 0.422% (-65.477%),huvihariduse huvitegevuse huviharidus 1.666% -> 0.572% (-65.669%)
planeeringu keskkonnamoju keskkonnamojude 0.706% -> 0.178% (-74.714%),koolilouna koolitoidu koolitoit 0.811% -> 0.198% (-75.533%),terviseandmed isikuandmeid terviseandmeid 1.535% -> 0.612% (-60.155%),otsevalimise presidenti presidendi 0.822% -> 0.165% (-79.989%),ulejaagis struktuurses struktuurse 1.696% -> 0.713% (-57.965%),teadus teaduse arendustegevuse 1.161% -> 0.504% (-56.558%),keeleoskust oskuse keeleoskuse 0.735% -> 0.178% (-75.737%),magustatud suhkrut joogi 1.354% -> 0.013% (-99.057%),palgalohe soolist meeste 1.085% -> 0.341% (-68.578%),tulumaksuvaba maksususteemi tulumaksu 1.668% -> 0.64% (-61.654%),tootuid tootute tootu 0.954% -> 0.246% (-74.176%),opositsiooni koalitsioonil opositsioonil 1.384% -> 0.387% (-72.014%)
vaikesaarte saarte pusiasustusega 1.021% -> 0.243% (-76.161%),kaibemaksu kaibemaks kaibemaksumaara 1.606% -> 0.662% (-58.81%),kohtunike kohtususteem kohtuniku 1.085% -> 0.232% (-78.62%),inimarengu aruanne aruandes 0.97% -> 0.253% (-73.898%),maksuamet tolliamet tolliameti 1.886% -> 0.643% (-65.903%),missiooni missioonile missioon 1.188% -> 0.504% (-57.58%),lipu laevu kaubalaeva 0.735% -> 0.147% (-80.019%),teekasutustasu autode autod 0.735% -> 0.191% (-73.942%),valimisliitude volikogusse volikokku 1.684% -> 0.7% (-58.468%),oigusriik oigusriigi oigusriigist 1.22% -> 0.292% (-76.078%),pollumeestele pollumehi pollumehed 0.842% -> 0.07% (-91.638%),haiguspaevade haiguspaevi haiguspaeva 1.044% -> 0.111% (-89.398%)
valismaale valjarande valjaranne 1.26% -> 0.341% (-72.967%),inimarengu aruanne aruandes 1.055% -> 0.265% (-74.906%),vabatahtlike komandode paasteameti 1.297% -> 0.253% (-80.484%),koolis kooli opilased 3.184% -> 1.785% (-43.942%),lapsetoetust lapsetoetus lapsetoetuse 2.14% -> 0.755% (-64.71%),kaibemaksu kaibemaks kaibemaksumaara 0.825% -> 0.242% (-70.716%),salvestisi salvestised salvestiste 1.355% -> 0.525% (-61.277%),reklaami reklaam alkoholireklaam 0.598% -> 0.064% (-89.333%),etv saateid pbk 1.136% -> 0.269% (-76.308%),koolis kooli opilased 5.112% -> 2.963% (-42.046%),hadaolukorda eriolukord eriolukorra 3.501% -> 1.877% (-46.396%),teadus teaduse arendustegevuse 1.126% -> 0.203% (-81.981%)
muugimaksu muugimaks paadimaksu 1.134% -> 0.178% (-84.266%),fie fuusilisest isikust 0.844% -> 0.093% (-89.021%),uliopilased uliopilastele uliopilaste 2.17% -> 0.422% (-80.563%),haale valimispaeval valimiste 0.907% -> 0.101% (-88.831%),kodakondsust kodakondsuse kodanikuks 1.861% -> 0.238% (-87.228%),efsf esm kreekale 1.734% -> 0.83% (-52.142%),deklaratsiooni deklaratsioone deklaratsioonis 0.735% -> 0.105% (-85.728%),maavalitsuste maavalitsused maakonna 1.605% -> 0.345% (-78.541%),borsile ipo enefit 1.136% -> 0.179% (-84.205%),pensionitous pensionitousu pension 2.278% -> 0.707% (-68.964%),rail trassi balticu 1.268% -> 0.282% (-77.799%),valimisliitude volikogusse volikokku 1.232% -> 0.203% (-83.526%)
vee monopolide veeteenuse 1.374% -> 0.26% (-81.104%),kodualuse maamaksu maamaksust 3.958% -> 2.382% (-39.835%),kodualuse maamaksu maamaksust 2.382% -> 0.295% (-87.604%),eriarstide eriarstiabi eriarsti 2.467% -> 1.051% (-57.412%),teede teehoiuks teedele 2.279% -> 0.447% (-80.365%),palgatousu opetajate palgatous 2.237% -> 1.061% (-52.581%),ts parvlaeva parvlaevad 1.124% -> 0.367% (-67.321%),metsa metsade mets 2.288% -> 0.676% (-70.436%),danske filiaali rahapesu 1.212% -> 0.161% (-86.683%),kodakondsust kodakondsuse kodanikuks 2.601% -> 0.685% (-73.68%),apteeke apteegid apteekide 1.941% -> 0.129% (-93.354%),terviseandmed isikuandmeid terviseandmeid 2.581% -> 1.107% (-57.112%)
pensioniiga pensioniea eluiga 2.52% -> 0.146% (-94.207%),kinnisasja maad maa 1.428% -> 0.318% (-77.757%),missiooni missioonile missioon 2.633% -> 0.464% (-82.38%),elamisluba elamisloa viisa 1.392% -> 0.152% (-89.085%),abielu kooselu samasooliste 2.431% -> 0.531% (-78.141%),sigade katku katk 1.552% -> 0.326% (-79.021%),efsf esm kreekale 0.83% -> 0.168% (-79.766%),rail trassi balticu 2.434% -> 0.587% (-75.889%),uhistranspordi uhistransport uhistransporti 1.353% -> 0.072% (-94.695%),alkoholi kange lahja 3.534% -> 0.797% (-77.451%),ulejaagis struktuurses struktuurse 2.278% -> 0.516% (-77.344%),kauguhendus avaksite ettekandjalt 1.865% -> 0.35% (-81.208%)
tootuid tootute tootu 4.537% -> 0.99% (-78.187%),tulumaksuvaba maksususteemi tulumaksu 2.141% -> 0.741% (-65.4%),efsf esm kreekale 4.882% -> 0.907% (-81.427%),jahimehed jahimeeste jahti 2.003% -> 0.063% (-96.84%),toovoimereformi toovoimega toovoimereform 2.772% -> 0.741% (-73.272%),pagulasi pagulased pagulaste 3.006% -> 0.672% (-77.639%),estonian air airi 0.872% -> 0.042% (-95.185%),vallaga vald sauga 2.76% -> 0.715% (-74.107%),eriarstide eriarstiabi eriarsti 2.08% -> 0.377% (-81.89%),jarviku jarvik maaeluministri 4.448% -> 1.257% (-71.745%),samba sammas sambasse 2.817% -> 0.164% (-94.17%),viirust vaktsineeritud viiruse 7.484% -> 2.915% (-61.056%)
